order_id,order_date,product,product_category,perishable,product_risk_weight,shelf_life_days,supplier,supplier_id,supplier_region,supplier_type,supplier_scale,supplier_reliability,supplier_risk_score,quantity_kg,price_per_kg,total_value_zar,promised_days,actual_days,delay_days,expected_delivery_date,actual_delivery_date,on_time,year,month,quarter,weekday,price_zscore,is_spike
ORD-154316,2022-01-01,Potatoes Sweet,Roots,False,0.38,45,Eastern Cape Large Citrus,23,Eastern Cape,Local,Large,0.766,69.0,591,16.7,9869.7,5,9,4,2022-01-06,2022-01-10,0,2022,1,1,5,0.26706579433317174,False
ORD-138773,2022-01-01,Broccoli,Vegetables,True,0.82,7,China Medium Imports,69,China,International,Medium,0.746,43.2,233,23.43,5459.19,20,42,22,2022-01-21,2022-02-12,0,2022,1,1,5,0.7786127747350445,False
ORD-103121,2022-01-01,Eggplant,Vegetables,True,0.82,10,North West Medium Maize,39,North West,Local,Medium,0.771,60.7,160,20.46,3273.6,5,11,6,2022-01-06,2022-01-12,0,2022,1,1,5,-0.10071240522163942,False
ORD-163133,2022-01-01,Pineapples,Fruits,False,0.55,21,Italy Medium Imports,61,Italy,International,Medium,0.893,78.3,561,24.2,13576.2,12,24,12,2022-01-13,2022-01-25,0,2022,1,1,5,-1.312789892819381,False
ORD-178464,2022-01-01,Green Beans,Vegetables,True,0.86,7,Western Cape Medium Premium,3,Western Cape,Local,Medium,0.962,79.0,158,27.4,4329.2,3,4,1,2022-01-04,2022-01-05,0,2022,1,1,5,0.7010539253963907,False
ORD-120656,2022-01-01,Broccoli,Vegetables,True,0.82,7,KwaZulu-Natal Small Subtropical,13,KwaZulu-Natal,Local,Small,0.889,72.5,251,19.85,4982.35,3,5,2,2022-01-04,2022-01-06,0,2022,1,1,5,-9.656109604797402e-05,False
ORD-137607,2022-01-01,Heirloom Tomatoes,Premium Vegetables,True,0.95,5,Mpumalanga Medium Tropical,27,Mpumalanga,Local,Medium,0.762,57.2,242,17.18,4157.56,5,14,9,2022-01-06,2022-01-15,0,2022,1,1,5,-2.1435378798333153,False
ORD-170907,2022-01-01,Heirloom Tomatoes,Premium Vegetables,True,0.95,5,Gauteng Medium Distribution,9,Gauteng,Local,Medium,0.875,68.5,447,23.29,10410.63,4,16,12,2022-01-05,2022-01-17,0,2022,1,1,5,-1.397389844649651,False
ORD-166478,2022-01-01,Ginger,Roots,False,0.48,60,Northern Cape Medium Dates,52,Northern Cape,Local,Medium,0.692,59.6,651,40.85,26593.35,2,6,4,2022-01-03,2022-01-07,0,2022,1,1,5,-1.1152051515502333,False
ORD-165120,2022-01-01,Mint,Herbs,True,0.92,7,North West Medium Sunflowers,40,North West,Local,Medium,0.723,48.9,199,46.25,9203.75,2,4,2,2022-01-03,2022-01-05,0,2022,1,1,5,0.6849697659120397,False
ORD-111255,2022-01-01,Grapes Red,Fruits,True,0.8,14,Western Cape Large Vegetables,6,Western Cape,Local,Large,0.914,75.4,470,28.99,13625.3,5,6,1,2022-01-06,2022-01-07,0,2022,1,1,5,-1.3674746291020379,False
ORD-106387,2022-01-01,Heirloom Tomatoes,Premium Vegetables,True,0.95,5,Gauteng Small Distribution,7,Gauteng,Local,Small,0.857,61.7,274,21.41,5866.34,3,4,1,2022-01-04,2022-01-05,0,2022,1,1,5,-1.6269738554753939,False
ORD-129118,2022-01-01,Onions Red,Roots,False,0.3,90,Kenya Large Imports,74,Kenya,International,Large,0.703,64.3,420,11.06,4645.2,12,22,10,2022-01-13,2022-01-23,0,2022,1,1,5,0.06732045256070608,False
ORD-101007,2022-01-01,Lentils,Grains,False,0.22,365,Limpopo Small Subtropical,43,Limpopo,Local,Small,0.693,64.9,91,24.05,2188.55,2,6,4,2022-01-03,2022-01-07,0,2022,1,1,5,0.4455704839522304,False
ORD-166024,2022-01-01,Avocados Hass,Fruits,True,0.88,7,Eastern Cape Medium Livestock,22,Eastern Cape,Local,Medium,0.778,55.2,307,47.89,14702.23,5,8,3,2022-01-06,2022-01-09,0,2022,1,1,5,0.38437964718316797,False
ORD-182102,2022-01-01,Zucchini,Vegetables,True,0.85,7,China Medium Imports,69,China,International,Medium,0.746,42.6,146,15.82,2309.72,17,39,22,2022-01-18,2022-02-09,0,2022,1,1,5,-0.00836622374926706,False
ORD-113938,2022-01-01,Ginger,Roots,False,0.48,60,Thailand Large Imports,68,Thailand,International,Large,0.719,62.3,231,41.56,9600.36,17,35,18,2022-01-18,2022-02-05,0,2022,1,1,5,-1.059310652388583,False
ORD-163425,2022-01-01,Artichokes,Premium Vegetables,True,0.9,7,Limpopo Small Subtropical,43,Limpopo,Local,Small,0.693,46.3,366,55.01,20133.66,2,7,5,2022-01-03,2022-01-08,0,2022,1,1,5,0.7115655088497641,False
ORD-180660,2022-01-01,Onions Brown,Roots,False,0.28,90,Spain Medium Imports,55,Spain,International,Medium,0.876,82.0,60,11.32,679.2,10,18,8,2022-01-11,2022-01-19,0,2022,1,1,5,0.7722840616656459,False
ORD-180487,2022-01-01,Grapes Red,Fruits,True,0.8,14,Eastern Cape Small Citrus,19,Eastern Cape,Local,Small,0.826,66.6,396,32.9,13028.4,2,5,3,2022-01-03,2022-01-06,0,2022,1,1,5,-0.9982598450642283,False
ORD-136997,2022-01-01,Avocados Hass,Fruits,True,0.88,7,China Medium Imports,69,China,International,Medium,0.746,42.0,232,44.35,10289.2,17,39,22,2022-01-18,2022-02-09,0,2022,1,1,5,0.063390163453536,False
ORD-167946,2022-01-01,Zucchini,Vegetables,True,0.85,7,USA Large Imports,60,USA,International,Large,0.91,54.0,224,20.26,4538.24,14,29,15,2022-01-15,2022-01-30,0,2022,1,1,5,1.208338344008807,False
ORD-197363,2022-01-01,Butternut Squash,Vegetables,False,0.4,60,Gauteng Medium Grains,10,Gauteng,Local,Medium,0.928,84.8,594,19.34,11487.96,5,7,2,2022-01-06,2022-01-08,0,2022,1,1,5,0.5563508485000015,False
ORD-119731,2022-01-01,Asparagus,Premium Vegetables,True,0.92,7,Western Cape Small Vegetables,2,Western Cape,Local,Small,0.919,68.5,191,70.05,13379.55,2,3,1,2022-01-03,2022-01-04,0,2022,1,1,5,1.4347825600388724,False
ORD-111451,2022-01-01,Radishes,Roots,True,0.7,10,Free State Medium Grains,33,Free State,Local,Medium,0.786,64.6,344,9.81,3374.64,4,6,2,2022-01-05,2022-01-07,0,2022,1,1,5,-0.034235715295768104,False
ORD-121388,2022-01-01,Cabbage,Vegetables,False,0.45,21,Limpopo Medium Avocados,46,Limpopo,Local,Medium,0.673,58.3,372,9.58,3563.76,5,13,8,2022-01-06,2022-01-14,0,2022,1,1,5,-0.0819831189177176,False
ORD-130434,2022-01-01,Potatoes White,Roots,False,0.35,60,North West Large Maize,41,North West,Local,Large,0.745,67.5,206,9.95,2049.7,3,5,2,2022-01-04,2022-01-06,0,2022,1,1,5,0.8006888983207613,False
ORD-121289,2022-01-01,Lettuce Iceberg,Vegetables,True,0.88,7,North West Small Maize,37,North West,Local,Small,0.768,59.2,385,8.73,3361.05,4,9,5,2022-01-05,2022-01-10,0,2022,1,1,5,-0.7648477193170666,False
ORD-151858,2022-01-01,Carrots,Roots,False,0.35,30,Gauteng Small Distribution,7,Gauteng,Local,Small,0.857,78.7,129,13.33,1719.57,4,5,1,2022-01-05,2022-01-06,0,2022,1,1,5,0.9484949334547992,False
ORD-136749,2022-01-01,Grapes Red,Fruits,True,0.8,14,Eastern Cape Large Livestock,24,Eastern Cape,Local,Large,0.768,55.8,546,28.97,15817.62,4,9,5,2022-01-05,2022-01-10,0,2022,1,1,5,-1.3693631957723078,False
ORD-183925,2022-01-01,Garlic,Roots,False,0.5,180,Mpumalanga Small Vegetables,26,Mpumalanga,Local,Small,0.77,67.0,490,60.21,29502.9,3,14,11,2022-01-04,2022-01-15,0,2022,1,1,5,-0.07194965909637632,False
ORD-103606,2022-01-01,Pineapples,Fruits,False,0.55,21,North West Large Maize,41,North West,Local,Large,0.745,63.5,301,25.68,7729.68,4,6,2,2022-01-05,2022-01-07,0,2022,1,1,5,-1.122274060209582,False
ORD-170151,2022-01-01,Broccoli,Vegetables,True,0.82,7,KwaZulu-Natal Small Subtropical,13,KwaZulu-Natal,Local,Small,0.889,72.5,360,20.73,7462.8,2,4,2,2022-01-03,2022-01-05,0,2022,1,1,5,0.1913180242479076,False
ORD-126685,2022-01-01,Organic Berries Mix,Premium Fruits,True,1.0,3,China Large Imports,70,China,International,Large,0.801,40.1,353,95.4,33676.2,18,41,23,2022-01-19,2022-02-11,0,2022,1,1,5,0.06086381658577246,False
ORD-167808,2022-01-01,Radishes,Roots,True,0.7,10,Free State Large Potatoes,36,Free State,Local,Large,0.738,59.8,490,9.97,4885.3,3,5,2,2022-01-04,2022-01-06,0,2022,1,1,5,0.033965733919460186,False
ORD-142339,2022-01-01,Potatoes Sweet,Roots,False,0.38,45,North West Large Maize,41,North West,Local,Large,0.745,66.9,469,16.06,7532.14,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,0.06270963839708006,False
ORD-190437,2022-01-01,Grapes Red,Fruits,True,0.8,14,Mpumalanga Large Tropical,29,Mpumalanga,Local,Large,0.754,59.4,375,27.53,10323.75,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,-1.5053399960317566,False
ORD-130877,2022-01-01,Spinach,Vegetables,True,0.92,5,Gauteng Medium Grains,10,Gauteng,Local,Medium,0.928,69.4,120,22.13,2655.6,2,3,1,2022-01-03,2022-01-04,0,2022,1,1,5,0.8082562647311704,False
ORD-111141,2022-01-01,Lentils,Grains,False,0.22,365,Northern Cape Large Dates,54,Northern Cape,Local,Large,0.654,61.0,106,20.35,2157.1,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,-0.3980713901423232,False
ORD-152012,2022-01-01,Organic Avocados,Premium Fruits,True,0.98,5,Italy Large Imports,62,Italy,International,Large,0.894,54.8,145,111.86,16219.7,10,22,12,2022-01-11,2022-01-23,0,2022,1,1,5,1.398780626947486,False
ORD-153589,2022-01-01,Passion Fruit,Premium Fruits,True,0.9,7,Mpumalanga Large Tropical,29,Mpumalanga,Local,Large,0.754,57.4,210,43.85,9208.5,5,8,3,2022-01-06,2022-01-09,0,2022,1,1,5,-1.2775045266147422,False
ORD-103311,2022-01-01,Spinach,Vegetables,True,0.92,5,China Large Imports,70,China,International,Large,0.801,41.7,106,20.99,2224.94,17,42,25,2022-01-18,2022-02-12,0,2022,1,1,5,0.550881604925794,False
ORD-120281,2022-01-01,Green Beans,Vegetables,True,0.86,7,Italy Medium Imports,61,Italy,International,Medium,0.893,57.1,309,27.5,8497.5,12,24,12,2022-01-13,2022-01-25,0,2022,1,1,5,0.7194234843470275,False
ORD-166632,2022-01-01,Potatoes Sweet,Roots,False,0.38,45,Eastern Cape Large Livestock,24,Eastern Cape,Local,Large,0.768,69.2,414,17.66,7311.24,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,0.5736000282373093,False
ORD-109724,2022-01-01,Watermelon,Fruits,False,0.5,21,India Large Imports,72,India,International,Large,0.703,60.3,921,12.26,11291.46,17,34,17,2022-01-18,2022-02-04,0,2022,1,1,5,-1.5507615776362453,False
ORD-175159,2022-01-01,Oranges Navel,Fruits,False,0.38,45,Gauteng Small Distribution,7,Gauteng,Local,Small,0.857,68.1,1050,22.64,23772.0,3,6,3,2022-01-04,2022-01-07,0,2022,1,1,5,0.14903570791233225,False
ORD-106570,2022-01-01,Fresh Parsley,Herbs,True,0.93,7,Eastern Cape Large Livestock,24,Eastern Cape,Local,Large,0.768,53.2,270,54.57,14733.9,2,5,3,2022-01-03,2022-01-06,0,2022,1,1,5,0.5946741788645967,False
ORD-128851,2022-01-01,Chickpeas,Grains,False,0.22,365,KwaZulu-Natal Large Vegetables,18,KwaZulu-Natal,Local,Large,0.84,79.6,370,22.27,8239.9,3,5,2,2022-01-04,2022-01-06,0,2022,1,1,5,0.703268306826245,False
ORD-156629,2022-01-01,Strawberries,Fruits,True,0.94,5,KwaZulu-Natal Medium Vegetables,16,KwaZulu-Natal,Local,Medium,0.876,68.8,87,47.6,4141.2,3,5,2,2022-01-04,2022-01-06,0,2022,1,1,5,0.012982076568986851,False
ORD-127914,2022-01-01,Eggplant,Vegetables,True,0.82,10,Limpopo Large Avocados,48,Limpopo,Local,Large,0.669,50.5,182,18.34,3337.88,4,9,5,2022-01-05,2022-01-10,0,2022,1,1,5,-0.5384405472033232,False
ORD-107713,2022-01-01,Organic Berries Mix,Premium Fruits,True,1.0,3,Eastern Cape Medium Livestock,22,Eastern Cape,Local,Medium,0.778,52.8,517,96.03,49647.51,5,12,7,2022-01-06,2022-01-13,0,2022,1,1,5,0.08709299664584241,False
ORD-182852,2022-01-01,Asparagus,Premium Vegetables,True,0.92,7,Free State Medium Grains,33,Free State,Local,Medium,0.786,60.2,345,53.66,18512.7,5,7,2,2022-01-06,2022-01-08,0,2022,1,1,5,0.16746734750172818,False
ORD-154806,2022-01-01,Carrots,Roots,False,0.35,30,Peru Large Imports,66,Peru,International,Large,0.804,73.4,179,13.58,2430.82,12,24,12,2022-01-13,2022-01-25,0,2022,1,1,5,1.0537771642264497,False
ORD-120292,2022-01-01,Mint,Herbs,True,0.92,7,Free State Small Grains,31,Free State,Local,Small,0.797,61.3,183,43.6,7978.8,5,16,11,2022-01-06,2022-01-17,0,2022,1,1,5,0.40497544469797914,False
ORD-106219,2022-01-01,Chickpeas,Grains,False,0.22,365,KwaZulu-Natal Large Subtropical,17,KwaZulu-Natal,Local,Large,0.853,80.9,157,18.63,2924.91,2,4,2,2022-01-03,2022-01-05,0,2022,1,1,5,-0.2360638817285692,False
ORD-174673,2022-01-01,Baby Kale,Premium Vegetables,True,0.96,4,Western Cape Medium Premium,3,Western Cape,Local,Medium,0.962,77.0,471,43.87,20662.77,4,5,1,2022-01-05,2022-01-06,0,2022,1,1,5,0.040562637981593944,False
ORD-177404,2022-01-01,Bell Peppers Red,Vegetables,True,0.86,10,Free State Medium Grains,33,Free State,Local,Medium,0.786,61.4,756,24.17,18272.52,2,5,3,2022-01-03,2022-01-06,0,2022,1,1,5,-0.43577180944030824,False
ORD-117509,2022-01-01,Carrots,Roots,False,0.35,30,Netherlands Large Imports,58,Netherlands,International,Large,0.958,88.8,546,12.48,6814.08,8,16,8,2022-01-09,2022-01-17,0,2022,1,1,5,0.5905353488311871,False
ORD-134481,2022-01-01,Heirloom Tomatoes,Premium Vegetables,True,0.95,5,KwaZulu-Natal Large Subtropical,17,KwaZulu-Natal,Local,Large,0.853,66.3,271,25.92,7024.32,5,7,2,2022-01-06,2022-01-08,0,2022,1,1,5,-1.076216467803,False
ORD-121154,2022-01-01,Butternut Squash,Vegetables,False,0.4,60,Mpumalanga Small Tropical,25,Mpumalanga,Local,Small,0.791,71.1,166,17.26,2865.16,4,7,3,2022-01-05,2022-01-08,0,2022,1,1,5,0.005663541642198231,False
ORD-125241,2022-01-02,Oranges Navel,Fruits,False,0.38,45,USA Large Imports,60,USA,International,Large,0.91,83.4,838,28.35,23757.3,15,29,14,2022-01-17,2022-01-31,0,2022,1,1,6,1.3781263081698152,False
ORD-106817,2022-01-02,Onions Brown,Roots,False,0.28,90,Eastern Cape Medium Livestock,22,Eastern Cape,Local,Medium,0.778,72.2,142,11.39,1617.38,2,7,5,2022-01-04,2022-01-09,0,2022,1,1,6,0.807934576715326,False
ORD-185159,2022-01-02,Baby Kale,Premium Vegetables,True,0.96,4,Free State Small Potatoes,32,Free State,Local,Small,0.764,57.2,305,42.71,13026.55,2,4,2,2022-01-04,2022-01-06,0,2022,1,1,6,-0.06584620455386735,False
ORD-185973,2022-01-02,Heirloom Tomatoes,Premium Vegetables,True,0.95,5,China Medium Imports,69,China,International,Medium,0.746,40.6,424,27.01,11452.24,17,40,23,2022-01-19,2022-02-11,0,2022,1,1,6,-0.9431065891859469,False
ORD-101975,2022-01-02,Brussels Sprouts,Vegetables,True,0.84,10,Free State Large Grains,35,Free State,Local,Large,0.746,52.8,393,30.63,12037.59,4,6,2,2022-01-06,2022-01-08,0,2022,1,1,6,0.715609266299311,False
ORD-183111,2022-01-02,Tomatoes,Vegetables,True,0.85,7,Free State Large Grains,35,Free State,Local,Large,0.746,52.6,464,10.6,4918.4,4,24,20,2022-01-06,2022-01-26,0,2022,1,1,6,-1.2494646623919798,False
ORD-102207,2022-01-02,Organic Avocados,Premium Fruits,True,0.98,5,Mpumalanga Large Tropical,29,Mpumalanga,Local,Large,0.754,55.8,127,68.12,8651.24,3,6,3,2022-01-05,2022-01-08,0,2022,1,1,6,-0.6324981016608852,False
ORD-142985,2022-01-02,White Rice,Grains,False,0.18,365,Mpumalanga Large Vegetables,30,Mpumalanga,Local,Large,0.754,71.8,553,13.39,7404.67,3,7,4,2022-01-05,2022-01-09,0,2022,1,1,6,-0.42554192596460283,False
ORD-173680,2022-01-02,Fresh Basil,Herbs,True,0.96,5,North West Medium Sunflowers,40,North West,Local,Medium,0.723,48.1,469,68.55,32149.95,3,5,2,2022-01-05,2022-01-07,0,2022,1,1,6,0.5640730420316483,False
ORD-113551,2022-01-02,Lemons,Fruits,False,0.35,60,Mpumalanga Large Tropical,29,Mpumalanga,Local,Large,0.754,68.4,488,18.56,9057.28,3,6,3,2022-01-05,2022-01-08,0,2022,1,1,6,0.03887761304346839,False
ORD-181909,2022-01-02,Bell Peppers Red,Vegetables,True,0.86,10,Mpumalanga Large Tropical,29,Mpumalanga,Local,Large,0.754,58.2,243,25.21,6126.03,3,6,3,2022-01-05,2022-01-08,0,2022,1,1,6,-0.2862852492681711,False
ORD-182685,2022-01-02,Strawberries,Fruits,True,0.94,5,Northern Cape Large Dates,54,Northern Cape,Local,Large,0.654,46.6,472,66.21,31251.12,2,5,3,2022-01-04,2022-01-07,0,2022,1,1,6,1.5645015308837726,False
ORD-195279,2022-01-02,Organic Butter Lettuce,Premium Vegetables,True,0.98,3,Peru Medium Imports,65,Peru,International,Medium,0.851,50.5,455,19.8,9009.0,14,29,15,2022-01-16,2022-01-31,0,2022,1,1,6,-1.215977799067488,False
ORD-100202,2022-01-02,Brown Rice,Grains,False,0.2,365,Spain Medium Imports,55,Spain,International,Medium,0.876,83.6,284,22.49,6387.16,11,19,8,2022-01-13,2022-01-21,0,2022,1,1,6,1.1925571189847248,False
ORD-174031,2022-01-02,Passion Fruit,Premium Fruits,True,0.9,7,Gauteng Small Grains,8,Gauteng,Local,Small,0.913,73.3,398,38.33,15255.34,5,6,1,2022-01-07,2022-01-08,0,2022,1,1,6,-1.6101957624482517,False
ORD-169644,2022-01-02,Broccoli,Vegetables,True,0.82,7,Limpopo Medium Subtropical,45,Limpopo,Local,Medium,0.671,45.7,315,21.5,6772.5,4,9,5,2022-01-06,2022-01-11,0,2022,1,1,6,0.3588057864238688,False
ORD-181280,2022-01-02,Beetroot,Roots,False,0.35,30,Mpumalanga Medium Vegetables,28,Mpumalanga,Local,Medium,0.792,72.2,331,12.49,4134.19,4,7,3,2022-01-06,2022-01-09,0,2022,1,1,6,-0.340905916233438,False
ORD-162990,2022-01-02,Baby Kale,Premium Vegetables,True,0.96,4,Limpopo Large Avocados,48,Limpopo,Local,Large,0.669,47.7,231,35.46,8191.26,3,8,5,2022-01-05,2022-01-10,0,2022,1,1,6,-0.7309014704005025,False
ORD-175656,2022-01-02,Chickpeas,Grains,False,0.22,365,Peru Medium Imports,65,Peru,International,Medium,0.851,80.7,126,22.57,2843.82,12,24,12,2022-01-14,2022-01-26,0,2022,1,1,6,0.7806857948939496,False
ORD-177370,2022-01-02,Carrots,Roots,False,0.35,30,Limpopo Medium Subtropical,45,Limpopo,Local,Medium,0.671,60.1,200,12.45,2490.0,3,7,4,2022-01-05,2022-01-09,0,2022,1,1,6,0.5779014811385885,False
ORD-195032,2022-01-02,Organic Avocados,Premium Fruits,True,0.98,5,Chile Medium Imports,63,Chile,International,Medium,0.808,46.2,330,107.36,35428.8,17,35,18,2022-01-19,2022-02-06,0,2022,1,1,6,1.1898013338807811,False
ORD-114538,2022-01-02,Fresh Cilantro,Herbs,True,0.95,5,Gauteng Large Distribution,11,Gauteng,Local,Large,0.928,73.8,430,57.86,24879.8,4,5,1,2022-01-06,2022-01-07,0,2022,1,1,6,0.4347114537880191,False
ORD-179245,2022-01-02,Passion Fruit,Premium Fruits,True,0.9,7,Mpumalanga Small Tropical,25,Mpumalanga,Local,Small,0.791,61.1,252,48.89,12320.28,4,7,3,2022-01-06,2022-01-09,0,2022,1,1,6,-0.9737429634624074,False
ORD-171786,2022-01-02,Apples Green,Fruits,False,0.4,90,Italy Large Imports,62,Italy,International,Large,0.894,81.4,222,34.12,7574.64,13,23,10,2022-01-15,2022-01-25,0,2022,1,1,6,1.2637604959595161,False
ORD-194690,2022-01-02,Cabbage,Vegetables,False,0.45,21,Free State Large Grains,35,Free State,Local,Large,0.746,65.6,239,10.52,2514.28,3,5,2,2022-01-05,2022-01-07,0,2022,1,1,6,0.3776019597647365,False
ORD-183294,2022-01-02,Bell Peppers Red,Vegetables,True,0.86,10,Mpumalanga Large Tropical,29,Mpumalanga,Local,Large,0.754,58.2,720,25.96,18691.2,4,10,6,2022-01-06,2022-01-12,0,2022,1,1,6,-0.17848244145172595,False
ORD-189446,2022-01-02,Onions Brown,Roots,False,0.28,90,North West Large Maize,41,North West,Local,Large,0.745,68.9,319,11.53,3678.07,4,6,2,2022-01-06,2022-01-08,0,2022,1,1,6,0.8792356068146854,False
ORD-159211,2022-01-02,Organic Berries Mix,Premium Fruits,True,1.0,3,Northern Cape Small Grapes,49,Northern Cape,Local,Small,0.714,51.4,797,96.74,77101.78,3,8,5,2022-01-05,2022-01-10,0,2022,1,1,6,0.11665286623734977,False
ORD-177220,2022-01-02,Bananas,Fruits,True,0.75,10,North West Medium Sunflowers,40,North West,Local,Medium,0.723,52.3,345,9.62,3318.9,2,9,7,2022-01-04,2022-01-11,0,2022,1,1,6,-0.7119890706538882,False
ORD-198194,2022-01-02,Bell Peppers Red,Vegetables,True,0.86,10,KwaZulu-Natal Large Vegetables,18,KwaZulu-Natal,Local,Large,0.84,66.8,237,30.44,7214.28,3,5,2,2022-01-05,2022-01-07,0,2022,1,1,6,0.4654596639051731,False
